"Gemeinde";"Kanton";"BfS_id";"stae_wb_2019";"ent_wb_2010_2019";"bev_dichte_2019";"gf_km2_0409";"ant_sf_0409";"ant_lf_0409";"ant_wg_0409";"ant_upf_0409";"ant_Wohnzonen_2017";"ant_Mischzonen_2017";"ant_Zentrumszonen_2017";"ant_öff_Nutzungszonen_2017";"ant_einge_Bauzonen_2017";"ant_Tourismus_Freizeitzonen_2017";"ant_Verkehrszone_in_2017";"ant_weitere_Bauzonen_2017";"ant_ÖV_GK_A_2017";"ant_ÖV_GK_B_2017";"ant_ÖV_GK_C_2017";"ant_ÖV_GK_D_2017";"ant_ÖV_GK_keine_2017";"anteil_lw_2020";"prok_ngw_2018";"dhhg_2019";"ant_aus_2019";"ant_sozhi_2019";"ant_u20_2019";"ant_20bis39_2019";"ant_40bis64_2019";"ant_ab65_2019";"prok_geb_2019";"prok_hei_2019";"prok_scheid_2019";"prok_tod_2019";"dre_17";"ant_bes1_2018";"ant_bes2_2018";"ant_bes3_2018";"ant_ast1_2018";"ant_ast2_2018";"ant_ast3_2018";"k_l_P_2019";"GPS_2019";"SP_2019";"k_m_P_2019";"CVP_2019";"BDP_2019";"FDP_2019";"k_r_P_2019";"SVP_2019";"Übrige_2019"
"Aadorf";"Thurgau";"4551";9047;11,91;453,71;19,94;18,11;53,39;28;0,5;37,4;12;11,72;7,67;2,04;0;12,21;0;0;0;12,04;39,97;47,99;3,11;4,87;2,29;15,84;1,07;20,4;25,09;35,27;19,23;11,72;5,75;2,43;6,52;36180,72;3,33;41,31;55,35;8,54;18,33;73,13;0;9,59;10,73;3,41;15,48;2,08;11,4;1,98;37,42;0
"Aarau";"Aargau";"4001";21773;11,67;1764,42;12,34;49,19;11,41;32,28;7,12;45,2;12,09;5,71;19,18;10,97;0;0;0;17,7;23,75;43,65;13,11;1,79;1,01;21,71;2,01;20,94;3,53;17,38;32,83;31,58;18,2;11,16;5,83;2,3;8,82;41023,02;0,08;9,21;90,71;0,38;6,42;93,2;0;14,68;26,43;3,62;5,66;2,54;16,68;0,63;16,35;2,56
"Aarberg";"Bern";"301";4632;13,31;584,11;7,93;23,43;44,21;29,72;2,64;25,32;14,41;2,61;13,77;2,05;0;0;4,95;0;0;9,69;55,5;34,81;0,65;3,46;2,13;12,89;2,74;19,62;24,83;34,22;21,33;9,93;4,75;1,94;8,2;35256,21;4,14;27,78;68,08;5,11;17,05;77,84;0,3;10,26;14,83;3,82;0,99;12,19;9,92;1,81;33,67;2,37
"Aarburg";"Aargau";"4271";8376;19,66;1899,32;4,41;45,68;19,32;31,14;3,86;49,17;13,06;5,54;16,39;2,8;1,81;0;0;0;10,15;57,07;22,56;10,22;4,81;2,56;2,21;44,14;4,81;20,48;31,17;34,05;14,3;10,51;4,66;3,46;6,09;28037,79;0,43;31,59;67,97;1,71;15,16;83,13;0;10,52;20,96;3,1;5,88;2,64;11,32;1,72;34,9;2,52
"Aarwangen";"Bern";"321";4620;10,53;466,67;9,9;14,99;45,8;35,97;3,24;38,19;28,41;2,45;16,5;0,83;0;0;2,55;0;0;43,12;29,4;27,48;7,6;19,95;2,3;15,91;3,87;20,54;23,72;36,41;19,33;11,26;4,98;1,73;6,49;30827,38;4,71;35,78;59,51;9,41;18,04;72,55;0,14;9,01;13,29;2,56;1,26;8,68;11,62;2,04;38,65;3,69
"Abtwil";"Aargau";"4221";964;5,82;232,29;4,15;8,21;69,57;22,22;0;39,32;0;52,18;8,5;0;0;0;0;0;0;0;93,69;6,31;3,13;0;2,54;12,66;0;24,07;23,03;41,6;11,31;5,19;2,07;2,07;3,11;33914,04;27,59;29,89;42,53;25,76;19,7;54,55;0;6,19;8,09;1,08;16,58;3,82;8,39;0,24;44,31;1
"Aclens";"Waadt";"5621";539;16,16;138,21;3,9;16,92;68,46;13,85;0,77;7,05;0;13,28;2;0,62;0;0;0;0;0;0;16,79;83,21;6,67;0;2,48;24,3;0;22,82;27,27;35,99;13,91;7,42;5,57;3,71;1,86;38004,78;1,12;25,56;73,31;6,8;36,89;56,31;4,26;16,16;21,45;0,33;0,37;0,18;23,5;0,74;22,03;1,51
"Acquarossa";"Tessin";"5048";1813;-1,52;29,35;61,78;3,55;21,27;56,11;19,07;58,79;0,74;26,67;11,64;0;0;0;0;0;0;0;41,12;58,88;0,36;3,32;2,11;12,08;1,88;16,66;20,19;36,85;26,31;7,17;2,76;4,41;11,03;26905,46;11,22;17,78;71;18,81;18,32;62,87;0,35;10,31;13,73;0;27,98;0;15,63;18,45;9,9;3
"Adelboden";"Bern";"561";3352;-5,92;38,26;87,61;2,49;41,52;18,28;37,71;52,62;4,99;7,23;14,11;2,1;7,99;0;3,66;0;0;43,07;48,81;8,13;0,7;12,98;2,24;7,85;0,42;19,87;23,54;34,67;21,93;10,74;4,18;1,49;12,23;23970,42;14,64;22,7;62,66;29,93;17,46;52,62;0,16;2,81;5,24;5,27;0,37;4,84;4,19;22,24;44,75;2,72
"Adligenswil";"Luzern";"1051";5460;-0,56;781,12;6,99;23,5;50,86;23,64;2,01;70,07;0,99;5,4;7,33;1,5;1,07;0;1,65;0;38,78;18,01;35,78;7,42;0,29;10,39;2,41;10,97;0,6;21,67;19,01;36,04;23,28;8,24;2,93;1,65;6,04;43089,44;4,11;20,59;75,3;6,43;12,28;81,29;0;14,58;16,85;0,84;16,72;0;16,66;0,05;23,63;0,27
