"","BfS_id","Gemeinde","Einkommen_Kanton","Einkommen_Gemeinde","Einkommen_Kirche ref.","Einkommen_Kirche röm.-kt.","Einkommen_Kirche christkt.","Vermögenssteuer_Kanton","Vermögenssteuer_Gemeinde","Vermögenssteuer_Kirche ref.","Vermögenssteuer_Kirche röm.-kt.","Vermögenssteuer_Kirche christkt.","Gewinn_Kanton","Gewinn_Gemeinde","Gewinn_Kirche","Kapital_Kanton","Kapital_Gemeinde","Kapital_Kirche"
"1",3101,"Appenzell",96,62,10,10,0,96,62,10,10,0,100,0,0,100,0,0
"2",3102,"Gonten",96,78,10,19,0,96,78,10,19,0,100,0,0,100,0,0
"3",3111,"Oberegg",96,99,24,19,0,96,99,24,19,0,100,0,0,100,0,0
"4",3103,"Rüte",96,64,10,10,0,96,64,10,10,0,100,0,0,100,0,0
"5",3104,"Schlatt-Haslen",96,82,10,18,0,96,82,10,18,0,100,0,0,100,0,0
"6",3105,"Schwende",96,92,10,15,0,96,92,10,15,0,100,0,0,100,0,0
"7",3021,"Bühler",330,400,80,50,0,330,400,80,50,0,100,0,0,330,400,0
"8",3022,"Gais",330,350,55,60,0,330,350,55,60,0,100,0,0,330,400,0
"9",3031,"Grub (AR)",330,400,75,45,0,330,400,75,45,0,100,0,0,330,400,0
"10",3032,"Heiden",330,370,60,45,0,330,370,60,45,0,100,0,0,330,400,0
"11",3001,"Herisau",330,410,50,45,0,330,410,50,45,0,100,0,0,330,400,0
"12",3002,"Hundwil",330,470,75,45,0,330,470,75,45,0,100,0,0,330,400,0
"13",3033,"Lutzenberg",330,370,72,74,0,330,370,72,74,0,100,0,0,330,400,0
"14",3034,"Rehetobel",330,430,70,45,0,330,430,70,45,0,100,0,0,330,400,0
"15",3035,"Reute (AR)",330,390,75,66,0,330,390,75,66,0,100,0,0,330,400,0
"16",3004,"Schwellbrunn",330,420,80,45,0,330,420,80,45,0,100,0,0,330,400,0
"17",3003,"Schönengrund",330,370,80,80,0,330,370,80,80,0,100,0,0,330,400,0
"18",3023,"Speicher",330,360,60,60,0,330,360,60,60,0,100,0,0,330,400,0
"19",3005,"Stein (AR)",330,370,70,56,0,330,370,70,56,0,100,0,0,330,400,0
"20",3024,"Teufen (AR)",330,280,50,50,0,330,280,50,50,0,100,0,0,330,400,0
"21",3025,"Trogen",330,430,75,60,0,330,430,75,60,0,100,0,0,330,400,0
"22",3006,"Urnäsch",330,430,70,45,0,330,430,70,45,0,100,0,0,330,400,0
"23",3036,"Wald (AR)",330,410,70,60,0,330,410,70,60,0,100,0,0,330,400,0
"24",3007,"Waldstatt",330,430,70,45,0,330,430,70,45,0,100,0,0,330,400,0
"25",3037,"Walzenhausen",330,340,70,45,0,330,340,70,45,0,100,0,0,330,400,0
"26",3038,"Wolfhalden",330,390,75,74,0,330,390,75,74,0,100,0,0,330,400,0
"27",301,"Aarberg",306,155,16.1,21.85,28,306,155,16.1,21.85,28,306,155,16.97,306,155,16.97
"28",321,"Aarwangen",306,154,18.4,19,27.6,306,154,18.4,19,27.6,306,154,18.51,306,154,18.51
"29",561,"Adelboden",306,199,18.4,23,23,306,199,18.4,23,23,306,199,18.72,306,199,18.72
"30",401,"Aefligen",306,170,16,19,27.6,306,170,16,19,27.6,306,170,16.31,306,170,16.31
"31",731,"Aegerten",306,179,20,21.85,28,306,179,20,21.85,28,306,179,20.34,306,179,20.34
"32",562,"Aeschi bei Spiez",306,179,25,23,23,306,179,25,23,23,306,179,24.84,306,179,24.84
"33",951,"Affoltern im Emmental",306,186,23.8,19,27.6,306,186,23.8,19,27.6,306,186,23.52,306,186,23.52
"34",402,"Alchenstorf",306,185,23,19,27.6,306,185,23,19,27.6,306,185,22.84,306,185,22.84
"35",630,"Allmendingen",306,125,18.4,18,27.6,306,125,18.4,18,27.6,306,125,18.35,306,125,18.35
"36",921,"Amsoldingen",306,185,24.6,19.5,23,306,185,24.6,19.5,23,306,185,24.24,306,185,24.24
"37",381,"Arch",306,175,16,21.85,28,306,175,16,21.85,28,306,175,17.09,306,175,17.09
"38",602,"Arni (BE)",306,164,23,19,27.6,306,164,23,19,27.6,306,164,22.81,306,164,22.81
"39",971,"Attiswil",306,164,20.7,19,27.6,306,164,20.7,19,27.6,306,164,20.39,306,164,20.39
"40",322,"Auswil",306,175,18.4,19,27.6,306,175,18.4,19,27.6,306,175,18.45,306,175,18.45
"41",323,"Bannwil",306,180,18.4,19,27.6,306,180,18.4,19,27.6,306,180,18.53,306,180,18.53
"42",302,"Bargen (BE)",306,184,23,21.85,28,306,184,23,21.85,28,306,184,22.9,306,184,22.9
"43",571,"Beatenberg",306,198,24.15,20.7,23,306,198,24.15,20.7,23,306,198,23.77,306,198,23.77
"44",732,"Bellmund",306,139,21,23,28,306,139,21,23,28,306,139,21.39,306,139,21.39
